symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
AMZN,2026-02-23 13:30:00-05:00,2026-02-23 13:45:00-05:00,2026-02-23 15:45:00-05:00,SHORT,65,203.93,205.14,201.52,200.32,1.2066,82,0.8044,False,stop,-98.94,-0.989,"below 20-bar average, strong relative volume, near recent intraday low"
AVGO,2026-02-23 13:30:00-05:00,2026-02-23 13:45:00-05:00,2026-02-24 09:30:00-05:00,SHORT,65,330.1,332.79,324.72,322.02,2.6922,37,1.7948,True,target_2,250.38,2.504,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-02-23 13:45:00-05:00,2026-02-23 14:00:00-05:00,2026-02-24 09:30:00-05:00,SHORT,65,640.2,643.6,633.4,629.99,3.4017,29,2.2678,True,target_2,248.32,2.483,"below 20-bar average, negative short-term momentum, near recent intraday low"
AVGO,2026-02-23 14:00:00-05:00,2026-02-23 14:15:00-05:00,2026-02-23 15:45:00-05:00,SHORT,65,327.04,329.66,321.79,319.17,2.6237,38,1.7491,False,stop,-99.7,-0.997,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-02-23 14:30:00-05:00,2026-02-23 14:45:00-05:00,2026-02-24 09:30:00-05:00,SHORT,65,639.39,642.21,633.74,630.92,2.8231,35,1.882,True,target_2,248.43,2.484,"below 20-bar average, strong relative volume, near recent intraday low"
GOOGL,2026-02-23 14:30:00-05:00,2026-02-23 14:45:00-05:00,2026-02-24 09:30:00-05:00,SHORT,65,311.38,312.88,308.36,306.85,1.5067,66,1.0045,True,target_2,248.61,2.486,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-24 15:00:00-05:00,2026-02-24 15:15:00-05:00,2026-02-25 09:45:00-05:00,SHORT,65,271.67,272.74,269.53,268.46,1.0698,93,0.7132,False,stop,-99.49,-0.995,"below 20-bar average, negative short-term momentum, near recent intraday low"
AMZN,2026-02-24 15:15:00-05:00,2026-02-24 15:30:00-05:00,2026-02-25 09:30:00-05:00,SHORT,85,208.24,209.14,206.44,205.54,0.8998,111,0.5998,False,stop,-99.87,-0.999,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
NVDA,2026-02-26 09:30:00-05:00,2026-02-26 09:45:00-05:00,2026-02-26 10:15:00-05:00,SHORT,85,189.99,191.38,187.22,185.83,1.3865,72,0.9243,True,target_2,249.56,2.496,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AVGO,2026-02-26 09:30:00-05:00,2026-02-26 09:45:00-05:00,2026-02-26 10:30:00-05:00,SHORT,85,318.64,321.87,312.18,308.94,3.2319,30,2.1546,True,target_2,242.39,2.424,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
GOOGL,2026-02-26 09:30:00-05:00,2026-02-26 09:45:00-05:00,2026-02-26 10:15:00-05:00,SHORT,85,308.39,309.96,305.25,303.68,1.5692,63,1.0461,True,target_2,247.93,2.479,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AMZN,2026-02-26 09:45:00-05:00,2026-02-26 10:00:00-05:00,2026-02-26 12:15:00-05:00,SHORT,65,209.31,210.16,207.6,206.75,0.8542,117,0.5695,True,target_2,250.28,2.503,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-02-26 10:00:00-05:00,2026-02-26 10:15:00-05:00,2026-02-27 09:30:00-05:00,SHORT,65,186.89,188.68,183.3,181.51,1.7931,55,1.1954,True,target_2,247.44,2.474,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-26 10:00:00-05:00,2026-02-26 10:15:00-05:00,2026-02-27 10:15:00-05:00,SHORT,85,272.5,273.86,269.78,268.41,1.3624,73,0.9083,True,target_2,249.32,2.493,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AVGO,2026-02-26 10:00:00-05:00,2026-02-26 10:15:00-05:00,2026-02-26 14:45:00-05:00,SHORT,85,313.88,317.74,306.15,302.29,3.8646,25,2.5764,False,stop,-96.62,-0.966,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
GOOGL,2026-02-26 10:00:00-05:00,2026-02-26 10:15:00-05:00,2026-02-26 11:15:00-05:00,SHORT,85,305.29,307.12,301.64,299.81,1.8253,54,1.2168,False,stop,-98.56,-0.986,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
META,2026-02-26 10:15:00-05:00,2026-02-26 10:30:00-05:00,2026-02-26 11:00:00-05:00,SHORT,65,650.8,655.23,641.93,637.5,4.4333,22,2.9556,False,stop,-97.53,-0.975,"below 20-bar average, negative short-term momentum, strong relative volume"
AMZN,2026-02-26 10:15:00-05:00,2026-02-26 10:30:00-05:00,2026-02-26 11:00:00-05:00,SHORT,65,207.51,208.65,205.23,204.09,1.1385,87,0.759,False,stop,-99.05,-0.99,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-26 10:45:00-05:00,2026-02-26 11:00:00-05:00,2026-02-26 11:15:00-05:00,SHORT,65,270.99,272.62,267.74,266.12,1.626,61,1.084,False,stop,-99.19,-0.992,"below 20-bar average, strong relative volume, near recent intraday low"
AVGO,2026-02-26 10:45:00-05:00,2026-02-26 11:00:00-05:00,2026-02-26 11:15:00-05:00,SHORT,65,309.79,314.29,300.78,296.28,4.5044,22,3.0029,False,stop,-99.1,-0.991,"below 20-bar average, negative short-term momentum, strong relative volume"
NVDA,2026-02-26 11:30:00-05:00,2026-02-26 11:45:00-05:00,2026-02-27 12:15:00-05:00,SHORT,65,186.74,189.17,181.88,179.45,2.4301,41,1.6201,True,target_2,250.3,2.503,"below 20-bar average, negative short-term momentum, strong relative volume"
AMZN,2026-02-26 11:30:00-05:00,2026-02-26 11:45:00-05:00,2026-02-27 10:45:00-05:00,SHORT,65,207.62,209.01,204.85,203.46,1.3871,72,0.9247,False,stop,-99.87,-0.999,"below 20-bar average, strong relative volume, near recent intraday low"
GOOGL,2026-02-26 11:30:00-05:00,2026-02-26 11:45:00-05:00,2026-02-27 09:45:00-05:00,SHORT,65,306.11,308.88,300.58,297.81,2.7664,36,1.8443,False,stop,-99.59,-0.996,"below 20-bar average, negative short-term momentum, strong relative volume"
AAPL,2026-02-26 11:45:00-05:00,2026-02-26 12:00:00-05:00,2026-02-27 13:00:00-05:00,SHORT,65,271.94,273.73,268.35,266.56,1.7934,55,1.1956,True,target_2,247.49,2.475,"below 20-bar average, strong relative volume, near recent intraday low"
AMZN,2026-02-26 12:30:00-05:00,2026-02-26 12:45:00-05:00,2026-02-26 14:00:00-05:00,SHORT,65,206.21,207.77,203.09,201.54,1.558,64,1.0386,False,stop,-99.71,-0.997,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-26 12:45:00-05:00,2026-02-26 13:00:00-05:00,2026-02-26 14:15:00-05:00,SHORT,65,271.17,272.92,267.67,265.92,1.751,57,1.1673,False,stop,-99.81,-0.998,"below 20-bar average, strong relative volume, near recent intraday low"
NVDA,2026-02-26 13:00:00-05:00,2026-02-26 13:15:00-05:00,2026-02-27 13:45:00-05:00,SHORT,65,185.15,187.34,180.76,178.57,2.1948,45,1.4632,True,target_2,248.01,2.48,"below 20-bar average, negative short-term momentum, near recent intraday low"
AMZN,2026-02-26 13:00:00-05:00,2026-02-26 13:15:00-05:00,2026-02-26 13:45:00-05:00,SHORT,65,205.51,206.97,202.57,201.1,1.468,68,0.9786,False,stop,-99.82,-0.998,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-02-26 13:30:00-05:00,2026-02-26 13:45:00-05:00,2026-02-26 14:30:00-05:00,SHORT,65,271.78,273.1,269.13,267.8,1.3253,75,0.8836,False,stop,-99.4,-0.994,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-02-27 09:30:00-05:00,2026-02-27 09:45:00-05:00,2026-02-27 09:45:00-05:00,SHORT,65,643.22,647.69,634.27,629.8,4.4729,22,2.9819,False,stop,-98.4,-0.984,"below 20-bar average, negative short-term momentum, strong relative volume"
NVDA,2026-02-27 09:30:00-05:00,2026-02-27 09:45:00-05:00,2026-03-02 09:30:00-05:00,SHORT,65,180.62,182.59,176.66,174.68,1.9782,50,1.3188,True,target_2,247.28,2.473,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-27 09:30:00-05:00,2026-02-27 09:45:00-05:00,2026-02-27 09:45:00-05:00,SHORT,65,268.93,270.29,266.22,264.86,1.356,73,0.904,False,stop,-98.99,-0.99,"below 20-bar average, negative short-term momentum, near recent intraday low"
AMZN,2026-02-27 09:30:00-05:00,2026-02-27 09:45:00-05:00,2026-02-27 10:00:00-05:00,SHORT,85,205.96,207.19,203.51,202.28,1.2262,81,0.8175,False,stop,-99.32,-0.993,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AVGO,2026-02-27 09:30:00-05:00,2026-02-27 09:45:00-05:00,2026-02-27 10:00:00-05:00,SHORT,65,313.26,317.27,305.24,301.23,4.0109,24,2.6739,False,stop,-96.26,-0.963,"below 20-bar average, negative short-term momentum, strong relative volume"
AAPL,2026-02-27 10:00:00-05:00,2026-02-27 10:15:00-05:00,2026-02-27 15:45:00-05:00,SHORT,65,269.53,271.25,266.09,264.37,1.7188,58,1.1459,True,target_2,249.22,2.492,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-27 10:45:00-05:00,2026-02-27 11:00:00-05:00,2026-02-27 15:45:00-05:00,SHORT,65,268.88,270.7,265.24,263.41,1.822,54,1.2147,True,target_2,245.97,2.46,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-02-27 11:15:00-05:00,2026-02-27 11:30:00-05:00,2026-02-27 15:45:00-05:00,SHORT,65,269.07,270.94,265.34,263.47,1.8654,53,1.2436,True,target_2,248.1,2.481,"below 20-bar average, strong relative volume, near recent intraday low"
NVDA,2026-02-27 11:30:00-05:00,2026-02-27 11:45:00-05:00,2026-03-02 10:00:00-05:00,SHORT,65,180.23,182.39,175.89,173.72,2.1691,46,1.4461,True,stop_after_t1,99.78,0.998,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-02-27 11:45:00-05:00,2026-02-27 12:00:00-05:00,2026-03-02 09:30:00-05:00,SHORT,65,268.62,270.54,264.78,262.86,1.9198,52,1.2799,True,target_2,249.58,2.496,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-02-27 12:30:00-05:00,2026-02-27 12:45:00-05:00,2026-02-27 15:45:00-05:00,SHORT,65,641.98,647.62,630.71,625.07,5.6366,17,3.7578,False,stop,-95.82,-0.958,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-02-27 13:15:00-05:00,2026-02-27 13:30:00-05:00,2026-03-02 09:30:00-05:00,SHORT,65,265.95,267.45,262.94,261.44,1.5042,66,1.0028,True,target_2,248.2,2.482,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-02-27 13:45:00-05:00,2026-02-27 14:00:00-05:00,2026-02-27 15:45:00-05:00,SHORT,65,640.78,644.01,634.34,631.12,3.2233,31,2.1488,False,stop,-99.92,-0.999,"below 20-bar average, strong relative volume, near recent intraday low"
NVDA,2026-02-27 14:15:00-05:00,2026-02-27 14:30:00-05:00,2026-03-02 09:30:00-05:00,SHORT,65,178.67,179.78,176.46,175.35,1.1063,90,0.7375,True,stop_after_t1,99.56,0.996,"below 20-bar average, strong relative volume, near recent intraday low"
