symbol,date,bias,score,entry_time,entry_price,stop_price,target1,target2,shares,exit_reason,exit_price,pnl,r_multiple,rel_vol_at_signal,atr_at_signal
NVDA,2026-01-23,SHORT,90,2026-01-23 20:15:00+00:00,187.51,188.0297,186.7305,186.2109,192,end_of_day,187.67,-30.72,-0.308,0.892,0.5197
GOOGL,2026-01-23,SHORT,90,2026-01-23 20:30:00+00:00,328.17,328.9061,327.0659,326.3298,135,end_of_day,327.92,33.75,0.34,0.824,0.7361
META,2026-01-23,SHORT,80,2026-01-23 20:45:00+00:00,660.59,662.5929,657.5858,655.5829,49,breakeven_after_t1,660.59,72.1,0.735,1.077,2.0028
NVDA,2026-01-26,SHORT,90,2026-01-26 20:15:00+00:00,186.105,186.5093,185.4986,185.0943,247,stop,186.5093,-99.86,-1.0,0.893,0.4043
META,2026-01-26,SHORT,80,2026-01-26 20:45:00+00:00,673.19,674.7111,670.9084,669.3874,65,end_of_day,672.32,56.55,0.572,1.272,1.5211
AMZN,2026-01-26,SHORT,80,2026-01-26 20:30:00+00:00,239.2,239.6448,238.5327,238.0879,224,breakeven_after_t1,239.2,74.73,0.75,0.944,0.4449
AAPL,2026-01-27,SHORT,90,2026-01-27 20:15:00+00:00,259.615,260.1217,258.8549,258.3482,197,target2,258.3482,199.9,2.003,0.921,0.5067
GOOGL,2026-01-27,SHORT,90,2026-01-27 20:30:00+00:00,335.47,335.9788,334.7069,334.1981,196,end_of_day,334.6,160.05,1.605,1.032,0.5088
NVDA,2026-01-27,SHORT,80,2026-01-27 20:30:00+00:00,189.42,189.8107,188.8339,188.4432,255,end_of_day,188.54,187.07,1.878,0.933,0.3907
META,2026-01-28,SHORT,90,2026-01-28 19:45:00+00:00,670.94,672.8318,668.1023,666.2106,52,stop,672.8318,-98.37,-1.0,1.133,1.8918
NVDA,2026-01-28,SHORT,90,2026-01-28 20:45:00+00:00,191.245,191.8012,190.4107,189.8545,179,end_of_day,191.53,-51.02,-0.512,0.96,0.5562
AMZN,2026-01-28,SHORT,65,2026-01-28 19:45:00+00:00,242.49,243.2711,241.3184,240.5373,128,stop,243.2711,-99.98,-1.0,0.989,0.7811
AVGO,2026-01-29,SHORT,90,2026-01-29 20:30:00+00:00,327.34,328.9157,324.9764,323.4007,63,stop,328.9157,-99.27,-1.0,1.058,1.5757
META,2026-01-30,SHORT,90,2026-01-30 20:30:00+00:00,715.46,718.1038,711.4944,708.8506,37,stop,718.1038,-97.82,-1.0,0.839,2.6438
NVDA,2026-01-30,SHORT,90,2026-01-30 20:30:00+00:00,189.84,190.6919,188.5622,187.7104,117,stop,190.6919,-99.67,-1.0,1.165,0.8519
AMZN,2026-01-30,SHORT,90,2026-01-30 20:00:00+00:00,239.76,240.8239,238.1641,237.1002,93,breakeven_after_t1,239.76,73.41,0.742,0.822,1.0639
META,2026-02-02,SHORT,90,2026-02-02 20:45:00+00:00,707.18,709.4072,703.8391,701.6119,44,end_of_day,706.42,33.44,0.341,1.32,2.2272
NVDA,2026-02-02,SHORT,90,2026-02-02 20:15:00+00:00,187.0875,187.7786,186.0509,185.3598,144,target2,185.3598,199.03,2.0,1.946,0.6911
AMZN,2026-02-02,SHORT,80,2026-02-02 20:00:00+00:00,242.96,243.5614,242.0579,241.4566,166,end_of_day,242.941,3.16,0.032,0.921,0.6014
META,2026-02-03,SHORT,90,2026-02-03 20:15:00+00:00,687.71,690.7223,683.1916,680.1793,33,stop,690.7223,-99.41,-1.0,0.856,3.0123
NVDA,2026-02-03,SHORT,90,2026-02-03 19:45:00+00:00,176.965,177.9403,175.502,174.5267,102,stop,177.9403,-99.48,-1.0,0.892,0.9753
AMZN,2026-02-03,SHORT,70,2026-02-03 20:15:00+00:00,236.9332,238.027,235.2925,234.1986,91,stop,238.027,-99.54,-1.0,0.614,1.0938
NVDA,2026-02-04,SHORT,90,2026-02-04 20:15:00+00:00,174.3,175.5511,172.4233,171.1721,79,stop,175.5511,-98.84,-1.0,0.925,1.2511
AAPL,2026-02-04,SHORT,90,2026-02-04 20:00:00+00:00,275.14,276.5142,273.0787,271.7045,72,stop,276.5142,-98.94,-1.0,0.871,1.3742
AMZN,2026-02-04,SHORT,90,2026-02-04 20:15:00+00:00,233.69,235.023,231.6905,230.3576,75,end_of_day,232.93,57.0,0.57,0.943,1.333
NVDA,2026-02-05,SHORT,90,2026-02-05 20:30:00+00:00,172.25,173.2259,170.7862,169.8103,102,end_of_day,171.82,43.86,0.441,1.031,0.9759
AMZN,2026-02-05,SHORT,90,2026-02-05 20:30:00+00:00,223.04,224.0993,221.4511,220.3918,94,end_of_day,222.5,50.76,0.51,1.312,1.0593
AVGO,2026-02-05,SHORT,90,2026-02-05 20:15:00+00:00,312.62,315.0809,308.9286,306.4677,40,breakeven_after_t1,312.62,73.83,0.75,0.902,2.4609
META,2026-02-06,SHORT,90,2026-02-06 20:00:00+00:00,655.24,658.5745,650.2383,646.9038,29,stop,658.5745,-96.7,-1.0,0.818,3.3345
AAPL,2026-02-06,SHORT,90,2026-02-06 20:15:00+00:00,277.85,278.632,276.677,275.895,127,stop,278.632,-99.31,-1.0,0.98,0.782
GOOGL,2026-02-06,SHORT,70,2026-02-06 19:45:00+00:00,322.914,324.1749,321.0226,319.7617,79,stop,324.1749,-99.61,-1.0,0.593,1.2609
NVDA,2026-02-09,SHORT,90,2026-02-09 20:15:00+00:00,190.33,190.9717,189.3675,188.7259,155,stop,190.9717,-99.46,-1.0,0.98,0.6416
AMZN,2026-02-09,SHORT,80,2026-02-09 20:30:00+00:00,209.035,210.1089,207.4241,206.3502,93,end_of_day,208.66,34.88,0.349,0.838,1.0739
GOOGL,2026-02-09,SHORT,80,2026-02-09 20:30:00+00:00,323.4,324.2493,322.126,321.2766,117,stop,324.2493,-99.37,-1.0,1.2,0.8493
META,2026-02-10,SHORT,90,2026-02-10 20:15:00+00:00,671.475,673.461,668.496,666.51,50,stop,673.461,-99.3,-1.0,1.02,1.986
NVDA,2026-02-10,SHORT,90,2026-02-10 20:15:00+00:00,188.79,189.3225,187.9912,187.4586,187,stop,189.3225,-99.59,-1.0,1.059,0.5325
AVGO,2026-02-10,SHORT,90,2026-02-10 20:15:00+00:00,340.87,342.0672,339.0742,337.8769,83,end_of_day,340.425,36.94,0.372,0.925,1.1972
NVDA,2026-02-11,SHORT,90,2026-02-11 20:30:00+00:00,191.05,191.6514,190.148,189.5466,166,breakeven_after_t1,191.05,74.87,0.75,0.874,0.6014
GOOGL,2026-02-11,SHORT,90,2026-02-11 20:00:00+00:00,310.93,312.1432,309.1102,307.897,82,end_of_day,310.8,10.66,0.107,1.353,1.2132
AAPL,2026-02-11,SHORT,80,2026-02-11 20:00:00+00:00,276.58,277.6424,274.9863,273.9238,94,end_of_day,275.54,97.76,0.979,4.316,1.0625
META,2026-02-12,SHORT,90,2026-02-12 20:30:00+00:00,650.65,653.6114,646.2079,643.2465,33,end_of_day,649.715,30.85,0.316,1.065,2.9614
NVDA,2026-02-12,SHORT,90,2026-02-12 20:15:00+00:00,188.14,189.068,186.748,185.82,107,end_of_day,186.91,140.2,1.412,0.853,0.928
AAPL,2026-02-12,SHORT,90,2026-02-12 20:30:00+00:00,261.48,262.7107,259.634,258.4034,81,end_of_day,261.59,-8.91,-0.089,0.841,1.2306
META,2026-02-13,SHORT,90,2026-02-13 20:30:00+00:00,641.255,643.4332,637.9877,635.8095,45,end_of_day,639.76,67.27,0.686,1.578,2.1782
NVDA,2026-02-13,SHORT,90,2026-02-13 20:00:00+00:00,182.87,183.6282,181.7327,180.9745,131,breakeven_after_t1,182.87,73.93,0.744,0.934,0.7582
AAPL,2026-02-13,SHORT,90,2026-02-13 20:15:00+00:00,257.54,258.2525,256.4713,255.7588,140,breakeven_after_t1,257.54,74.81,0.75,1.027,0.7125
NVDA,2026-02-18,SHORT,90,2026-02-18 19:45:00+00:00,187.9,188.5356,186.9466,186.3111,157,breakeven_after_t1,187.9,74.36,0.745,0.957,0.6356
AMZN,2026-02-18,SHORT,90,2026-02-18 20:00:00+00:00,204.42,205.0157,203.5264,202.9307,167,stop,205.0157,-99.49,-1.0,0.839,0.5957
GOOGL,2026-02-18,SHORT,90,2026-02-18 19:45:00+00:00,302.31,303.1791,301.0063,300.1372,115,stop,303.1791,-99.95,-1.0,0.836,0.8691
META,2026-02-19,SHORT,90,2026-02-19 20:15:00+00:00,641.7985,643.9108,638.63,636.5177,47,stop,643.9108,-99.28,-1.0,0.973,2.1123
AAPL,2026-02-19,SHORT,90,2026-02-19 19:45:00+00:00,260.78,261.4699,259.7451,259.0551,144,end_of_day,260.51,38.88,0.391,1.089,0.6899
AVGO,2026-02-19,SHORT,90,2026-02-19 20:15:00+00:00,330.845,332.4594,328.4234,326.809,61,stop,332.4594,-98.48,-1.0,1.259,1.6144
AVGO,2026-02-20,SHORT,90,2026-02-20 19:45:00+00:00,332.94,334.8518,330.0723,328.1606,52,end_of_day,332.59,18.2,0.183,0.862,1.9118
META,2026-02-20,SHORT,80,2026-02-20 20:30:00+00:00,654.3,656.8239,650.5141,647.9902,39,end_of_day,655.61,-51.09,-0.519,0.8,2.5239
AAPL,2026-02-20,SHORT,80,2026-02-20 20:30:00+00:00,263.345,264.3443,261.846,260.8467,100,stop,264.3443,-99.93,-1.0,0.985,0.9993
GOOGL,2026-02-23,SHORT,90,2026-02-23 20:00:00+00:00,310.46,311.3766,309.085,308.1684,109,stop,311.3766,-99.91,-1.0,4.221,0.9166
AAPL,2026-02-23,SHORT,80,2026-02-23 19:45:00+00:00,266.64,267.5234,265.3149,264.4315,113,end_of_day,266.39,28.25,0.283,3.37,0.8834
META,2026-02-23,SHORT,70,2026-02-23 20:00:00+00:00,637.66,639.5113,634.883,633.0317,54,end_of_day,637.31,18.9,0.189,0.241,1.8513
