symbol,bias,entry_time,exit_time,entry_price,exit_price,stop_price,target1,target2,atr14,risk_per_share,shares,pnl,r_multiple,exit_reason,trade_date
GOOGL,SHORT,2026-01-20 14:30:00+00:00,2026-01-20 14:45:00+00:00,321.75,323.2518,323.2518,318.7465,317.2447,1.5018,1.5018,66,-99.12,-0.991,STOP,2026-01-20
NVDA,SHORT,2026-01-20 14:45:00+00:00,2026-01-20 15:30:00+00:00,179.95,180.8873,180.8873,178.0754,177.1381,0.9373,0.9373,106,-99.35,-0.994,STOP,2026-01-20
META,SHORT,2026-01-20 20:00:00+00:00,2026-01-20 20:15:00+00:00,602.97,604.4462,604.4462,600.0176,598.5414,1.4762,1.4762,67,-98.9,-0.989,STOP,2026-01-20
AVGO,SHORT,2026-01-20 20:30:00+00:00,2026-01-20 20:45:00+00:00,332.1,332.6,333.4424,329.4151,328.0727,1.3424,1.3424,74,-37.0,-0.37,EOD_NO_T1,2026-01-20
NVDA,SHORT,2026-01-22 19:30:00+00:00,2026-01-22 20:45:00+00:00,184.69,184.85,185.1628,183.7443,183.2715,0.4728,0.4728,211,-33.76,-0.338,EOD_NO_T1,2026-01-22
AAPL,SHORT,2026-01-22 19:30:00+00:00,2026-01-22 20:45:00+00:00,249.53,248.36,250.1068,248.3765,247.7997,0.5768,0.5768,173,200.99,2.01,EOD_AFTER_T1,2026-01-22
GOOGL,SHORT,2026-01-22 20:15:00+00:00,2026-01-22 20:45:00+00:00,329.54,330.2045,330.2045,328.211,327.5465,0.6645,0.6645,150,-99.68,-0.997,STOP,2026-01-22
AMZN,SHORT,2026-01-22 20:30:00+00:00,2026-01-22 20:45:00+00:00,233.92,234.29,234.3794,233.0012,232.5418,0.4594,0.4594,217,-80.29,-0.803,EOD_NO_T1,2026-01-22
AAPL,SHORT,2026-01-28 14:30:00+00:00,2026-01-28 20:00:00+00:00,256.63,256.63,257.3887,255.1126,254.354,0.7587,0.7587,131,98.63,0.986,BE_STOP,2026-01-28
AVGO,SHORT,2026-01-28 14:45:00+00:00,2026-01-28 16:45:00+00:00,332.55,327.448,334.2507,329.1486,327.448,1.7007,1.7007,58,246.6,2.466,T2,2026-01-28
META,SHORT,2026-01-28 19:30:00+00:00,2026-01-28 20:45:00+00:00,671.03,668.86,672.9218,667.2465,665.3547,1.8918,1.8918,52,154.79,1.548,EOD_AFTER_T1,2026-01-28
NVDA,SHORT,2026-01-29 14:30:00+00:00,2026-01-29 14:45:00+00:00,190.61,191.398,191.398,189.0341,188.2461,0.788,0.788,126,-99.28,-0.993,STOP,2026-01-29
AMZN,SHORT,2026-01-29 14:30:00+00:00,2026-01-29 15:00:00+00:00,240.755,238.2715,241.5828,239.0993,238.2715,0.8278,0.8278,120,248.35,2.484,T2,2026-01-29
GOOGL,SHORT,2026-01-29 14:45:00+00:00,2026-01-29 16:15:00+00:00,330.2801,330.2801,332.0884,326.6634,324.855,1.8084,1.8084,55,97.65,0.977,BE_STOP,2026-01-29
AVGO,SHORT,2026-01-29 15:00:00+00:00,2026-01-29 17:00:00+00:00,326.15,326.15,328.678,321.094,318.5659,2.528,2.528,39,96.06,0.961,BE_STOP,2026-01-29
AAPL,SHORT,2026-01-29 15:30:00+00:00,2026-01-29 16:15:00+00:00,255.14,256.3128,256.3128,252.7944,251.6216,1.1728,1.1728,85,-99.69,-0.997,STOP,2026-01-29
META,SHORT,2026-02-03 14:30:00+00:00,2026-02-03 15:15:00+00:00,707.7,698.6744,710.7086,701.6829,698.6744,3.0085,3.0085,33,249.71,2.497,T2,2026-02-03
NVDA,SHORT,2026-02-03 14:30:00+00:00,2026-02-03 15:00:00+00:00,183.42,180.5507,184.3764,181.5071,180.5507,0.9564,0.9564,104,248.67,2.487,T2,2026-02-03
AMZN,SHORT,2026-02-03 14:30:00+00:00,2026-02-03 14:45:00+00:00,243.64,244.4828,244.4828,241.9544,241.1116,0.8428,0.8428,118,-99.45,-0.995,STOP_BEFORE_T1,2026-02-03
AVGO,SHORT,2026-02-03 14:30:00+00:00,2026-02-03 14:45:00+00:00,327.885,329.8711,329.8711,323.9128,321.9267,1.9861,1.9861,50,-99.3,-0.993,STOP_BEFORE_T1,2026-02-03
GOOGL,SHORT,2026-02-03 15:00:00+00:00,2026-02-03 15:15:00+00:00,342.42,344.0027,344.0027,339.2546,337.6719,1.5827,1.5827,63,-99.71,-0.997,STOP,2026-02-03
AAPL,SHORT,2026-02-03 20:30:00+00:00,2026-02-03 20:45:00+00:00,269.41,269.46,270.4793,267.2714,266.2022,1.0693,1.0693,93,-4.65,-0.046,EOD_NO_T1,2026-02-03
META,SHORT,2026-02-04 14:30:00+00:00,2026-02-04 15:00:00+00:00,680.64,669.1269,684.4777,672.9646,669.1269,3.8377,3.8377,26,249.45,2.495,T2,2026-02-04
AMZN,SHORT,2026-02-04 14:45:00+00:00,2026-02-04 15:00:00+00:00,235.28,236.5395,236.5395,232.7609,231.5014,1.2595,1.2595,79,-99.5,-0.995,STOP,2026-02-04
GOOGL,SHORT,2026-02-04 14:45:00+00:00,2026-02-04 16:45:00+00:00,336.5351,331.113,338.3425,332.9203,331.113,1.8074,1.8074,55,249.42,2.494,T2,2026-02-04
