symbols,rel_vol_min,skip_minutes,atr_stop_mult,target1_r,target2_r,total_trades,wins,losses,win_rate_pct,total_pnl,avg_pnl,avg_r,score
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,2.0,3.0,121,62,59,51.24,4169.09,34.46,0.345,5282.69
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,2.0,3.0,121,62,59,51.24,4169.09,34.46,0.345,5282.69
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,1.5,2.5,121,66,55,54.55,3964.3,32.76,0.328,5110.55
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,1.5,2.5,121,66,55,54.55,3964.3,32.76,0.328,5110.55
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,1.5,2.5,121,66,55,54.55,3964.3,32.76,0.328,5110.55
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.0,1.5,2.5,104,55,49,52.88,3925.33,37.74,0.377,5095.53
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.0,1.5,2.5,104,55,49,52.88,3925.33,37.74,0.377,5095.53
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.0,1.5,2.5,104,55,49,52.88,3925.33,37.74,0.377,5095.53
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.2,1.5,3.0,104,54,50,51.92,3837.61,36.9,0.369,4985.41
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.2,1.5,3.0,104,54,50,51.92,3837.61,36.9,0.369,4985.41
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.2,1.5,3.0,104,54,50,51.92,3837.61,36.9,0.369,4985.41
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.2,2.0,3.0,104,48,56,46.15,3888.23,37.39,0.374,4954.48
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.2,2.0,3.0,104,48,56,46.15,3888.23,37.39,0.374,4954.48
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.2,2.0,3.0,104,48,56,46.15,3888.23,37.39,0.374,4954.48
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.2,1.5,2.5,104,54,50,51.92,3733.46,35.9,0.359,4871.26
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.2,1.5,2.5,104,54,50,51.92,3733.46,35.9,0.359,4871.26
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.2,1.5,2.5,104,54,50,51.92,3733.46,35.9,0.359,4871.26
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.5,2.0,3.0,104,52,52,50.0,3683.17,35.42,0.354,4787.17
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.5,2.0,3.0,104,52,52,50.0,3683.17,35.42,0.354,4787.17
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.5,2.0,3.0,104,52,52,50.0,3683.17,35.42,0.354,4787.17
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.5,1.5,3.0,104,56,48,53.85,3610.88,34.72,0.347,4765.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.5,1.5,3.0,104,56,48,53.85,3610.88,34.72,0.347,4765.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.5,1.5,3.0,104,56,48,53.85,3610.88,34.72,0.347,4765.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.2,2.0,2.5,104,48,56,46.15,3632.64,34.93,0.349,4673.89
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.2,2.0,2.5,104,48,56,46.15,3632.64,34.93,0.349,4673.89
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.2,2.0,2.5,104,48,56,46.15,3632.64,34.93,0.349,4673.89
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.5,2.0,2.5,104,52,52,50.0,3557.2,34.2,0.342,4649.2
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.5,2.0,2.5,104,52,52,50.0,3557.2,34.2,0.342,4649.2
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.5,2.0,2.5,104,52,52,50.0,3557.2,34.2,0.342,4649.2
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.5,1.5,2.5,104,56,48,53.85,3484.9,33.51,0.335,4627.65
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.5,1.5,2.5,104,56,48,53.85,3484.9,33.51,0.335,4627.65
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.5,1.5,2.5,104,56,48,53.85,3484.9,33.51,0.335,4627.65
"META,NVDA,AAPL",1.0,15,1.0,2.0,3.0,65,33,32,50.77,3333.16,51.28,0.513,4607.71
"META,NVDA,AAPL",1.0,30,1.0,2.0,3.0,65,33,32,50.77,3333.16,51.28,0.513,4607.71
"META,NVDA,AAPL",1.0,45,1.0,2.0,3.0,65,33,32,50.77,3333.16,51.28,0.513,4607.71
"META,NVDA,AAPL",1.0,15,1.0,2.0,2.5,65,33,32,50.77,3329.52,51.22,0.512,4603.07
"META,NVDA,AAPL",1.0,30,1.0,2.0,2.5,65,33,32,50.77,3329.52,51.22,0.512,4603.07
"META,NVDA,AAPL",1.0,45,1.0,2.0,2.5,65,33,32,50.77,3329.52,51.22,0.512,4603.07
"META,NVDA,AAPL",1.0,15,1.0,1.5,3.0,65,36,29,55.38,3226.09,49.63,0.496,4552.79
"META,NVDA,AAPL",1.0,30,1.0,1.5,3.0,65,36,29,55.38,3226.09,49.63,0.496,4552.79
"META,NVDA,AAPL",1.0,45,1.0,1.5,3.0,65,36,29,55.38,3226.09,49.63,0.496,4552.79
"META,NVDA,AAPL",1.0,15,1.5,2.0,3.0,65,37,28,56.92,3176.12,48.86,0.489,4518.92
"META,NVDA,AAPL",1.0,30,1.5,2.0,3.0,65,37,28,56.92,3176.12,48.86,0.489,4518.92
"META,NVDA,AAPL",1.0,45,1.5,2.0,3.0,65,37,28,56.92,3176.12,48.86,0.489,4518.92
"META,NVDA,AAPL",1.0,15,1.5,2.0,2.5,65,37,28,56.92,3065.38,47.16,0.472,4391.18
"META,NVDA,AAPL",1.0,30,1.5,2.0,2.5,65,37,28,56.92,3065.38,47.16,0.472,4391.18
"META,NVDA,AAPL",1.0,45,1.5,2.0,2.5,65,37,28,56.92,3065.38,47.16,0.472,4391.18
"META,NVDA,AAPL",1.0,15,1.0,1.5,2.5,65,36,29,55.38,3072.18,47.26,0.473,4375.88
"META,NVDA,AAPL",1.0,30,1.0,1.5,2.5,65,36,29,55.38,3072.18,47.26,0.473,4375.88
"META,NVDA,AAPL",1.0,45,1.0,1.5,2.5,65,36,29,55.38,3072.18,47.26,0.473,4375.88
"META,NVDA,AAPL,AMZN",1.0,15,1.0,2.0,3.0,89,41,48,46.07,3263.12,36.66,0.367,4321.17
"META,NVDA,AAPL,AMZN",1.0,30,1.0,2.0,3.0,89,41,48,46.07,3263.12,36.66,0.367,4321.17
"META,NVDA,AAPL,AMZN",1.0,45,1.0,2.0,3.0,89,41,48,46.07,3263.12,36.66,0.367,4321.17
"META,NVDA,AAPL,AMZN",1.0,15,1.0,2.0,2.5,89,41,48,46.07,3255.97,36.58,0.366,4313.02
"META,NVDA,AAPL,AMZN",1.0,30,1.0,2.0,2.5,89,41,48,46.07,3255.97,36.58,0.366,4313.02
"META,NVDA,AAPL,AMZN",1.0,45,1.0,2.0,2.5,89,41,48,46.07,3255.97,36.58,0.366,4313.02
"META,NVDA,AAPL",1.0,15,1.5,1.5,3.0,65,38,27,58.46,2919.45,44.91,0.449,4245.35
"META,NVDA,AAPL",1.0,30,1.5,1.5,3.0,65,38,27,58.46,2919.45,44.91,0.449,4245.35
"META,NVDA,AAPL",1.0,45,1.5,1.5,3.0,65,38,27,58.46,2919.45,44.91,0.449,4245.35
"META,NVDA,AAPL",1.0,15,1.2,2.0,3.0,65,34,31,52.31,2984.65,45.92,0.459,4228.3
"META,NVDA,AAPL",1.0,30,1.2,2.0,3.0,65,34,31,52.31,2984.65,45.92,0.459,4228.3
"META,NVDA,AAPL",1.0,45,1.2,2.0,3.0,65,34,31,52.31,2984.65,45.92,0.459,4228.3
"META,NVDA,AAPL",1.0,15,1.2,2.0,2.5,65,34,31,52.31,2944.81,45.3,0.453,4182.46
"META,NVDA,AAPL",1.0,30,1.2,2.0,2.5,65,34,31,52.31,2944.81,45.3,0.453,4182.46
"META,NVDA,AAPL",1.0,45,1.2,2.0,2.5,65,34,31,52.31,2944.81,45.3,0.453,4182.46
"META,NVDA,AAPL",1.0,15,1.5,1.5,2.5,65,38,27,58.46,2808.7,43.21,0.432,4117.6
"META,NVDA,AAPL",1.0,30,1.5,1.5,2.5,65,38,27,58.46,2808.7,43.21,0.432,4117.6
"META,NVDA,AAPL",1.0,45,1.5,1.5,2.5,65,38,27,58.46,2808.7,43.21,0.432,4117.6
"META,NVDA,AAPL,AMZN",1.0,15,1.5,2.0,3.0,89,45,44,50.56,2990.48,33.6,0.336,4084.88
"META,NVDA,AAPL,AMZN",1.0,30,1.5,2.0,3.0,89,45,44,50.56,2990.48,33.6,0.336,4084.88
"META,NVDA,AAPL,AMZN",1.0,45,1.5,2.0,3.0,89,45,44,50.56,2990.48,33.6,0.336,4084.88
"META,NVDA,AAPL,AMZN",1.0,15,1.5,2.0,2.5,89,45,44,50.56,2936.05,32.99,0.33,4024.45
"META,NVDA,AAPL,AMZN",1.0,30,1.5,2.0,2.5,89,45,44,50.56,2936.05,32.99,0.33,4024.45
"META,NVDA,AAPL,AMZN",1.0,45,1.5,2.0,2.5,89,45,44,50.56,2936.05,32.99,0.33,4024.45
"META,NVDA,AAPL",1.2,15,1.0,1.5,3.0,60,34,26,56.67,2650.64,44.18,0.442,3942.69
"META,NVDA,AAPL",1.2,30,1.0,1.5,3.0,60,34,26,56.67,2650.64,44.18,0.442,3942.69
"META,NVDA,AAPL",1.2,45,1.0,1.5,3.0,60,34,26,56.67,2650.64,44.18,0.442,3942.69
"META,NVDA,AAPL,AMZN",1.0,15,1.2,2.0,3.0,89,42,47,47.19,2895.95,32.54,0.325,3928.8
"META,NVDA,AAPL,AMZN",1.0,30,1.2,2.0,3.0,89,42,47,47.19,2895.95,32.54,0.325,3928.8
"META,NVDA,AAPL,AMZN",1.0,45,1.2,2.0,3.0,89,42,47,47.19,2895.95,32.54,0.325,3928.8
"META,NVDA,AAPL",1.2,15,1.5,2.0,3.0,60,35,25,58.33,2605.86,43.43,0.434,3914.81
"META,NVDA,AAPL",1.2,30,1.5,2.0,3.0,60,35,25,58.33,2605.86,43.43,0.434,3914.81
"META,NVDA,AAPL",1.2,45,1.5,2.0,3.0,60,35,25,58.33,2605.86,43.43,0.434,3914.81
"META,NVDA,AAPL,AMZN",1.0,15,1.5,1.5,3.0,89,47,42,52.81,2786.53,31.31,0.313,3891.68
"META,NVDA,AAPL,AMZN",1.0,30,1.5,1.5,3.0,89,47,42,52.81,2786.53,31.31,0.313,3891.68
"META,NVDA,AAPL,AMZN",1.0,45,1.5,1.5,3.0,89,47,42,52.81,2786.53,31.31,0.313,3891.68
"META,NVDA,AAPL",1.4,15,1.5,2.0,3.0,48,28,20,58.33,2495.83,52.0,0.52,3890.78
"META,NVDA,AAPL",1.4,30,1.5,2.0,3.0,48,28,20,58.33,2495.83,52.0,0.52,3890.78
"META,NVDA,AAPL",1.4,45,1.5,2.0,3.0,48,28,20,58.33,2495.83,52.0,0.52,3890.78
"META,NVDA,AAPL,AMZN",1.0,15,1.5,1.5,2.5,89,47,42,52.81,2732.1,30.7,0.307,3831.25
"META,NVDA,AAPL,AMZN",1.0,30,1.5,1.5,2.5,89,47,42,52.81,2732.1,30.7,0.307,3831.25
"META,NVDA,AAPL,AMZN",1.0,45,1.5,1.5,2.5,89,47,42,52.81,2732.1,30.7,0.307,3831.25
"META,NVDA,AAPL",1.2,15,1.0,2.0,3.0,60,31,29,51.67,2611.68,43.53,0.435,3821.73
"META,NVDA,AAPL",1.2,30,1.0,2.0,3.0,60,31,29,51.67,2611.68,43.53,0.435,3821.73
"META,NVDA,AAPL",1.2,45,1.0,2.0,3.0,60,31,29,51.67,2611.68,43.53,0.435,3821.73
"META,NVDA,AAPL",1.2,15,1.5,2.0,2.5,60,35,25,58.33,2520.35,42.01,0.42,3815.3
"META,NVDA,AAPL",1.2,30,1.5,2.0,2.5,60,35,25,58.33,2520.35,42.01,0.42,3815.3
"META,NVDA,AAPL",1.2,45,1.5,2.0,2.5,60,35,25,58.33,2520.35,42.01,0.42,3815.3
"META,NVDA,AAPL,AMZN",1.0,15,1.0,1.5,3.0,89,44,45,49.44,2743.5,30.83,0.308,3793.1
"META,NVDA,AAPL,AMZN",1.0,30,1.0,1.5,3.0,89,44,45,49.44,2743.5,30.83,0.308,3793.1
"META,NVDA,AAPL,AMZN",1.0,45,1.0,1.5,3.0,89,44,45,49.44,2743.5,30.83,0.308,3793.1
"META,NVDA,AAPL",1.2,15,1.0,2.0,2.5,60,31,29,51.67,2585.19,43.09,0.431,3791.24
"META,NVDA,AAPL",1.2,30,1.0,2.0,2.5,60,31,29,51.67,2585.19,43.09,0.431,3791.24
"META,NVDA,AAPL",1.2,45,1.0,2.0,2.5,60,31,29,51.67,2585.19,43.09,0.431,3791.24
"META,NVDA,AAPL,AMZN",1.0,15,1.2,2.0,2.5,89,42,47,47.19,2755.99,30.97,0.31,3773.84
"META,NVDA,AAPL,AMZN",1.0,30,1.2,2.0,2.5,89,42,47,47.19,2755.99,30.97,0.31,3773.84
"META,NVDA,AAPL,AMZN",1.0,45,1.2,2.0,2.5,89,42,47,47.19,2755.99,30.97,0.31,3773.84
"META,NVDA,AAPL",1.4,15,1.0,1.5,3.0,48,28,20,58.33,2396.34,49.92,0.499,3770.29
"META,NVDA,AAPL",1.4,30,1.0,1.5,3.0,48,28,20,58.33,2396.34,49.92,0.499,3770.29
"META,NVDA,AAPL",1.4,45,1.0,1.5,3.0,48,28,20,58.33,2396.34,49.92,0.499,3770.29
"META,NVDA,AAPL",1.2,15,1.0,1.5,2.5,60,34,26,56.67,2473.88,41.23,0.412,3735.93
"META,NVDA,AAPL",1.2,30,1.0,1.5,2.5,60,34,26,56.67,2473.88,41.23,0.412,3735.93
"META,NVDA,AAPL",1.2,45,1.0,1.5,2.5,60,34,26,56.67,2473.88,41.23,0.412,3735.93
"META,NVDA,AAPL",1.4,15,1.5,1.5,3.0,48,29,19,60.42,2297.0,47.85,0.479,3682.3
"META,NVDA,AAPL",1.4,30,1.5,1.5,3.0,48,29,19,60.42,2297.0,47.85,0.479,3682.3
"META,NVDA,AAPL",1.4,45,1.5,1.5,3.0,48,29,19,60.42,2297.0,47.85,0.479,3682.3
"META,NVDA,AAPL",1.4,15,1.5,2.0,2.5,48,28,20,58.33,2320.8,48.35,0.483,3678.75
"META,NVDA,AAPL",1.4,30,1.5,2.0,2.5,48,28,20,58.33,2320.8,48.35,0.483,3678.75
"META,NVDA,AAPL",1.4,45,1.5,2.0,2.5,48,28,20,58.33,2320.8,48.35,0.483,3678.75
"META,NVDA,AAPL",1.4,15,1.0,1.5,2.5,48,28,20,58.33,2319.72,48.33,0.483,3677.67
"META,NVDA,AAPL",1.4,30,1.0,1.5,2.5,48,28,20,58.33,2319.72,48.33,0.483,3677.67
"META,NVDA,AAPL",1.4,45,1.0,1.5,2.5,48,28,20,58.33,2319.72,48.33,0.483,3677.67
"META,NVDA,AAPL,AMZN",1.0,15,1.0,1.5,2.5,89,44,45,49.44,2636.06,29.62,0.296,3673.66
"META,NVDA,AAPL,AMZN",1.0,30,1.0,1.5,2.5,89,44,45,49.44,2636.06,29.62,0.296,3673.66
"META,NVDA,AAPL,AMZN",1.0,45,1.0,1.5,2.5,89,44,45,49.44,2636.06,29.62,0.296,3673.66
